Source Name,Level,Category,Primary Function,What to Crawl For,Update Frequency,Data Format,Automation Method,URL/Access Point
FEDERAL LEGISLATIVE SOURCES,,,,,,,,
Congress.gov,Federal,Legislative,Bill tracking and legislative text,"Bills, amendments, committee actions, voting records, hearings, law texts affecting SNF payment/staffing/quality",Real-time,"JSON, XML, HTML",API polling,congress.gov
House Ways & Means Committee,Federal,Legislative,Medicare/Medicaid oversight,"SNF payment bills, committee markups, hearing transcripts, Medicare/Medicaid amendments",Real-time,"HTML, PDF",Web scraping,congress.gov/committee/house-ways-and-means
Senate Finance Committee,Federal,Legislative,Medicare/Medicaid oversight,"Senate healthcare legislation, hearing transcripts, committee reports, policy proposals",Real-time,"HTML, PDF",Web scraping,congress.gov/committee/senate-finance
House Energy & Commerce,Federal,Legislative,Healthcare policy,"Quality and safety legislation, enforcement policy changes, nursing home regulations",Real-time,"HTML, PDF",Web scraping,congress.gov/committee/house-energy-and-commerce
Federal Budget Documents,Federal,Legislative,Appropriations & funding,"CMS payment rules, Medicare Trustees Report, CBO reports, budget proposals",Annual (Feb-Sept),"PDF, HTML",Manual review,Multiple sources
FEDERAL REGULATORY SOURCES,,,,,,,,
CMS.gov - SNF PPS,Federal,Regulatory,Payment policy,"SNF payment rules (proposed & final), rate updates, market basket, wage index, PDPM changes",Weekly,"HTML, PDF, RSS",RSS + Web scraping,cms.gov/medicare/payment/prospective-payment-systems/skilled-nursing-facility-snf
CMS.gov - QSO Memos,Federal,Regulatory,Survey guidance,"Quality/Safety/Oversight memos, surveyor guidance changes, implementation timelines, enforcement priorities",Monthly,PDF,PDF monitoring,cms.gov/medicare/health-safety-standards/quality-safety-oversight-general-information/policy-memos
State Operations Manual (Appendix PP),Federal,Regulatory,Survey standards,"F-tag interpretive guidelines, surveyor guidance, compliance requirements, regulatory interpretations",Quarterly,PDF,PDF monitoring,cms.gov/files/document/appendix-pp-state-operations-manual.pdf
Federal Register - SNF Rules,Federal,Regulatory,Rulemaking,"Proposed rules (~April 11), final rules (~July 31), comment periods, implementation dates, payment updates",Daily/Annual cycle,"XML, PDF, HTML",API + RSS,federalregister.gov
Federal Register - Other Rules,Federal,Regulatory,General rulemaking,"Requirements of Participation updates, staffing mandates, quality measures, enforcement policy, emergency waivers",Daily,"XML, PDF, HTML",API + RSS,federalregister.gov
Regulations.gov,Federal,Regulatory,Public comment tracking,"Regulatory dockets, public comments, comment deadlines, agency responses, final decisions",Real-time,"HTML, PDF",Web scraping,regulations.gov
CMS.gov - Consolidated Billing,Federal,Regulatory,Billing policy,"Consolidated billing files, rate schedules, MAC matrices, billing requirements, policy updates",Monthly,"HTML, PDF, Excel",Web scraping,cms.gov/medicare/coding-billing/skilled-nursing-facility-snf-consolidated-billing
CMS.gov - Provider Enrollment,Federal,Regulatory,Participation requirements,"Enrollment requirements, revalidation deadlines, participation standards, certification requirements",As needed,"HTML, PDF",Web scraping,cms.gov/medicare/enrollment-renewal/providers-suppliers/skilled-nursing-facility-center
Medicare Administrative Contractors (MACs),Federal,Regulatory,Regional guidance,"SNF billing bulletins, coding updates, appeals guidance, regional audit notices, claims processing changes",Monthly-Quarterly,"HTML, PDF",Web scraping,"Varies by region (e.g., med.noridianmedicare.com)"
FEDERAL ENFORCEMENT & OVERSIGHT SOURCES,,,,,,,,
