metric_name,category,display_name,definition,calculation_equation,required_datasets,data_source_details,update_frequency,is_higher_better,publicly_available,notes,,,,,,BLS Occupational Employment & Wage Statistics (OEWS)
avg_rn_hourly_wage,Workforce,Average RN Hourly Wage,Mean hourly wage for Registered Nurses working in nursing care facilities,Direct value from BLS OEWS,BLS Occupational Employment & Wage Statistics (OEWS),"SOC Code: 29-1141, Industry: 623110 (Nursing Care Facilities), Field: Mean hourly wage",Annual (May),FALSE,YES,,,,,,,BLS OEWS
avg_lpn_hourly_wage,Workforce,Average LPN Hourly Wage,Mean hourly wage for Licensed Practical Nurses in SNFs,Direct value from BLS OEWS,BLS OEWS,"SOC Code: 29-2061, Industry: 623110, Field: Mean hourly wage",Annual (May),FALSE,YES,,,,,,,Census Bureau Population Estimates
avg_cna_hourly_wage,Workforce,Average CNA Hourly Wage,Mean hourly wage for Certified Nursing Assistants in SNFs,Direct value from BLS OEWS,BLS OEWS,"SOC Code: 31-1131, Industry: 623110, Field: Mean hourly wage",Annual (May),FALSE,YES,,,,,,,State Medicaid Agency Rate Sheets
avg_admin_hourly_wage,Workforce,Average Administrator Hourly Wage,Mean hourly wage for Medical/Health Services Managers in SNFs,Direct value from BLS OEWS,BLS OEWS,"SOC Code: 11-9111, Industry: 623110, Field: Mean hourly wage",Annual (May),FALSE,YES,,,,,,,Calculated from all state rates
population_65_plus,Demographics,Population Age 65+,Current population age 65 and older in the state,Direct value from Census,Census Bureau Population Estimates,"Vintage: Latest year, Age groups: 65+",Annual (July),TRUE,YES,,,,,,,CMS Medicare Monthly Enrollment
population_85_plus,Demographics,Population Age 85+,Current population age 85 and older in the state,Direct value from Census,Census Bureau Population Estimates,"Vintage: Latest year, Age groups: 85+",Annual (July),TRUE,YES,,,,,,,CMS Care Compare
medicaid_per_diem_rate,Reimbursement,Medicaid Per Diem Rate,Average daily Medicaid reimbursement rate for SNF services,Extract base per diem or most common rate category,State Medicaid Agency Rate Sheets,Published rates by state with effective dates,Quarterly,TRUE,YES,Varies by state - manual collection,,,,,,CMS Health Deficiencies Database
medicaid_rate_vs_national,Reimbursement,Medicaid Rate vs National Average,Percentage difference from national average Medicaid rate,((State Rate - National Avg) / National Avg) × 100,Calculated from all state rates,National Avg = Mean or Weighted Mean,Quarterly,TRUE,YES,Calculated metric,,,,,,NCSL CON Tracking
ma_penetration_pct,Reimbursement,Medicare Advantage Penetration %,Percentage of Medicare beneficiaries enrolled in Medicare Advantage plans,(MA Enrollees / Total Medicare Enrollees) × 100,CMS Medicare Monthly Enrollment,"County-level MA and total Medicare enrollment, Aggregate to state",Monthly,FALSE,YES,Context dependent,,,,,,Kaiser Family Foundation (KFF) State Tracker
avg_overall_star_rating,Quality,Average Overall Star Rating,Mean overall star rating (1-5) across all SNFs in state,Σ(Star Ratings) / Count(Facilities with ratings),CMS Care Compare,Provider Data API - Overall Rating field,Monthly,TRUE,YES,,,,,,,CMS Provider of Services File
